Sample Name,Weeks after planting ,Treatment,Plant type,Test Name,Sampling time point t0 (min),t1 (min),t2(min),Surface Area of pot (m2),volume of pot (L),BF,t0,t1,t2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",BF flux (umol/min/m2),"5. Cleaned flux values (below MDF, p > 0.2, slope not correct direction):","Flux, Fm (umol/m2/min).1","Flux, Fm (umol/m2/hour)","Flux, Fm (mmol/m2/hour)","Flux, Fm (mg C/m2/hour)","Flux, Fm (mg CO2/m2/h)","Flux, Fm (kg CO2/ha/day)",Unnamed: 29,1st Day,t0.1,t1.1,t2.1,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_1stday_flux (umol/min/m2),3rd day,t0.2,t1.2,t2.2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_3rdday_flux (umol/min/m2),5th day,t0.3,t1.3,t2.3,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_5thday_flux (umol/min/m2),7th day ,t0.4,t1.4,t2.4,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_7thday_flux (umol/min/m2)
A7,13,U200,L,CO2,0,30,60,0.12444,5.01000,,610.08820,1033.71320,1561.98050,19.00000,20.12000,20.15000,25.43569,42.93281,64.86649,25.44813,1024.55105,1024.551054,,,45.41,0.04541,0.54492,,0.04795296,,,487.8626,836.1575,1008.07,19.00000,20.12000,20.15000,20.33988,34.72780,41.86349,15.93634,641.60276,641.6027622,,501.5335,641.887,817.7159,19.00000,20.12000,20.15000,20.90985,26.65924,33.95840,8.40411,338.35275,338.3527491,,524.0757,895.1265,1268.9535,19.00000,20.12000,20.15000,0.00000,21.76623,37.17314,26.21984,1055.62017,1055.620174,,472.9855,771.8449,794.8644,19.00000,20.12000,20.15000,0.00000,19.64432,32.05345,22.97905,925.14481,925.1448102
A8,13,U200,L,CO2,0,30,60,0.12444,5.01000,,805.22190,1898.09420,3126.88480,19.00000,20.12000,20.15000,33.57117,78.83280,129.85440,63.21258,2544.96147,2544.961474,,,112.8,0.1128,1.3536,,0.1191168,,,503.9441,910.721,1672.8073,19.00000,20.12000,20.15000,21.01035,37.82462,69.46894,29.29191,1179.30309,1179.303094,,566.0386,840.9274,1152.303,19.00000,20.12000,20.15000,23.59918,34.92591,47.85325,15.89182,639.81044,639.8104379,,547.9731,1038.9462,1398.954,19.00000,20.12000,20.15000,0.00000,22.75875,43.14573,29.37350,1182.58779,1182.587793,,557.7989,624.7015,1041.3562,19.00000,20.12000,20.15000,0.00000,23.16684,25.94283,21.67135,872.49635,872.4963494
A11,13,M100,L,CO2,0,30,60,0.12444,5.01000,,726.89130,2256.72760,3681.73780,19.00000,20.12000,20.15000,30.30543,93.72778,152.89653,82.93423,3338.96268,3338.962676,,,144.46,0.14446,1.73352,,0.15254976,,,755.5102,1186.1753,1979.5484,19.00000,20.12000,20.15000,31.49860,49.26495,82.20740,30.72453,1236.98098,1236.980977,,469.3463,805.464,1126.4178,19.00000,20.12000,20.15000,19.56791,33.45302,46.77828,18.32688,737.84674,737.8467448,,561.2909,1318.3588,774.1796,19.00000,20.12000,20.15000,0.00000,23.31187,54.74928,34.91896,1405.85009,1405.850087,,669.1236,1346.865,2149.3936,19.00000,20.12000,20.15000,0.00000,27.79045,55.93309,37.35458,1503.90914,1503.909137
A12,13,M100,L,CO2,0,30,60,0.12444,5.01000,,869.38460,2139.55080,2996.04280,19.00000,20.12000,20.15000,36.24623,88.86112,124.42074,62.61004,2520.70300,2520.703003,,,102.93,0.10293,1.23516,,0.10869408,,,621.7168,1136.2149,1911.2743,19.00000,20.12000,20.15000,25.92051,47.18997,79.37209,33.46131,1347.16466,1347.164658,,555.9245,888.207,1365.3187,19.00000,20.12000,20.15000,23.17751,36.88955,56.69945,21.14284,851.21849,851.218492,,586.1325,1342.1211,1471.784,19.00000,20.12000,20.15000,0.00000,24.34361,55.73609,35.80694,1441.60038,1441.600376,,665.4926,1449.301,2284.8002,19.00000,20.12000,20.15000,0.00000,27.63964,60.18709,39.23810,1579.74040,1579.740401
A13,13,M100,L,CO2,0,30,60,0.12444,5.01000,,780.97820,2357.38210,2433.36970,19.00000,20.12000,20.15000,32.56041,97.90823,101.05385,58.98494,2374.75537,2374.755371,,,79.66,0.07966,0.95592,,0.08412096,,,704.7408,1145.1921,1782.4531,19.00000,20.12000,20.15000,29.38193,47.56281,74.02235,28.12199,1132.20149,1132.201487,,531.3763,756.1007,1132.6365,19.00000,20.12000,20.15000,22.15405,31.40283,47.03654,15.30084,616.01747,616.01747,,494.0478,1751.5912,2312.7585,19.00000,20.12000,20.15000,0.00000,20.51909,72.74071,41.97372,1689.87726,1689.877258,,714.7425,1444.052,3149.3751,19.00000,20.12000,20.15000,0.00000,29.68512,59.96911,40.00323,1610.54479,1610.54479
A16,13,M200,L,CO2,0,30,60,0.12444,5.01000,,829.73920,2566.67180,3945.02860,19.00000,20.12000,20.15000,34.59335,106.60057,163.83057,89.60656,3607.59312,3607.593119,,,152.11,0.15211,1.82532,,0.16062816,,,600.4892,940.0826,1607.8478,19.00000,20.12000,20.15000,25.03549,39.04408,66.77128,25.02816,1007.64292,1007.642922,,516.4545,741.7316,1313.2167,19.00000,20.12000,20.15000,21.53193,30.80605,54.53574,19.02912,766.11945,766.119455,,631.9136,1680.7002,2869.2553,19.00000,20.12000,20.15000,0.00000,26.24502,69.79672,43.04725,1733.09811,1733.098115,,689.7157,1271.2855,2144.7376,19.00000,20.12000,20.15000,0.00000,28.64569,52.79440,36.27946,1460.62445,1460.624452
A17,13,M200,L,CO2,0,30,60,0.12444,5.01000,,1260.03660,2315.95770,4295.66790,19.00000,20.12000,20.15000,52.53323,96.18776,178.39204,76.07139,3062.66218,3062.662178,,,146.86,0.14686,1.76232,,0.15508416,,,630.4939,749.312,1936.0442,19.00000,20.12000,20.15000,26.28644,31.12088,80.40074,26.81527,1079.59265,1079.59265,,616.1793,1203.8907,1704.2754,19.00000,20.12000,20.15000,25.68964,50.00072,70.77576,30.91811,1244.77433,1244.774328,,678.5982,1678.7222,3151.9511,19.00000,20.12000,20.15000,0.00000,28.18395,69.71458,43.82951,1764.59217,1764.592166,,648.2794,1945.4857,2501.3769,19.00000,20.12000,20.15000,0.00000,26.92473,80.79283,48.36818,1947.32074,1947.320741
A18,13,M200,L,CO2,0,30,60,0.12444,5.01000,,638.76940,2157.07370,3270.96390,19.00000,20.12000,20.15000,26.63146,89.58890,135.83777,76.61069,3084.37444,3084.374443,,,128.71,0.12871,1.54452,,0.13591776,,,628.3436,1231.3845,1759.9617,19.00000,20.12000,20.15000,26.19679,51.14261,73.08832,32.01293,1288.85248,1288.85248,,549.3255,850.838,1891.902,19.00000,20.12000,20.15000,22.90239,35.33752,78.56759,30.73909,1237.56719,1237.567195,,616.8389,1220.3861,2003.3474,19.00000,20.12000,20.15000,0.00000,25.61893,50.68063,34.03203,1370.14219,1370.142187,,706.3317,1312.5048,1782.9104,19.00000,20.12000,20.15000,0.00000,29.33580,54.50617,37.35484,1503.91948,1503.919477
A21,13,C0,L,CO2,0,30,60,0.12444,5.01000,,732.58380,1736.03960,2660.51640,19.00000,20.12000,20.15000,30.54276,72.10225,110.48688,54.16786,2180.81796,2180.817963,,,93.48,0.09348,1.12176,,0.09871488,,,740.3394,1188.4117,1691.2647,19.00000,20.12000,20.15000,30.86610,49.35784,70.23545,25.84057,1040.35075,1040.350745,,499.653,720.5884,1073.038,19.00000,20.12000,20.15000,20.83145,29.92792,44.56151,14.70891,592.18600,592.1860035,,520.2172,1272.7612,1809.0849,19.00000,20.12000,20.15000,0.00000,21.60598,52.85569,33.33083,1341.91159,1341.911586,,657.3451,1214.7183,2123.6669,19.00000,20.12000,20.15000,0.00000,27.30126,50.44526,34.63565,1394.44390,1394.443902
A22,13,C0,L,CO2,0,30,60,0.12444,5.01000,,934.20460,1601.68450,3893.48660,19.00000,20.12000,20.15000,38.94870,66.52213,161.69011,67.84464,2731.45008,2731.450076,,,144.06,0.14406,1.72872,,0.15212736,,,775.3952,1525.8291,1702.9578,19.00000,20.12000,20.15000,32.32764,63.37166,70.72104,30.70145,1236.05152,1236.051524,,658.2961,741.7717,1871.5505,19.00000,20.12000,20.15000,27.44557,30.80771,77.72242,24.43612,983.80707,983.8070715,,546.4293,2005.8054,3445.3064,19.00000,20.12000,20.15000,0.00000,22.69463,83.29781,47.72619,1921.47378,1921.473782,,553.9941,1363.515,1967.376,19.00000,20.12000,20.15000,0.00000,23.00882,56.62454,35.64923,1435.25087,1435.250871
A23,13,C0,L,CO2,0,30,60,0.12444,5.01000,,883.27570,2459.98230,4087.72980,19.00000,20.12000,20.15000,36.82538,102.16948,169.75671,88.48012,3562.24192,3562.24192,,,156.38,0.15638,1.87656,,0.16513728,,,646.7043,1148.9657,1913.4116,19.00000,20.12000,20.15000,26.96229,47.71954,79.46085,32.80848,1320.88160,1320.881602,,600.4885,989.2199,810.6088,19.00000,20.12000,20.15000,25.03546,41.08488,33.66325,10.73577,432.22588,432.2258795,,604.4601,1334.4801,2365.5168,19.00000,20.12000,20.15000,0.00000,25.10480,55.41877,35.98355,1448.71075,1448.710755,,719.4159,1527.0332,2373.2053,19.00000,20.12000,20.15000,0.00000,29.87922,63.41518,41.66276,1677.35803,1677.358033
B1,13,U100,P,CO2,0,30,60,0.12444,5.01000,,911.23820,2356.55160,3821.35640,19.00000,20.12000,20.15000,37.99119,97.87373,158.69466,80.57339,3243.91410,3243.914097,,,141.69,0.14169,1.70028,,0.14962464,,,911.2382,1691.175,1265.6271,19.00000,20.12000,20.15000,37.99119,70.23891,52.55942,20.30434,817.46016,817.460163,,667.0694,950.0768,1903.4753,19.00000,20.12000,20.15000,27.81134,39.45917,79.04821,28.37909,1142.55270,1142.552701,,523.62,922.9412,2462.7866,19.00000,20.12000,20.15000,0.00000,21.74730,38.32823,26.74058,1076.58572,1076.585722,,596.1819,1357.1847,2364.9852,19.00000,20.12000,20.15000,0.00000,24.76099,56.36165,36.26978,1460.23451,1460.234507
B2,13,U100,P,CO2,0,30,60,0.12444,5.01000,,1201.48210,2236.12100,6039.40360,19.00000,20.12000,20.15000,50.09199,92.87194,250.80653,109.96714,4427.31750,4427.317496,,,236.48,0.23648,2.83776,,0.24972288,,,578.633,1026.7873,2351.6854,19.00000,20.12000,20.15000,24.12427,42.64515,97.66164,41.49347,1670.54223,1670.542226,,524.1049,832.6255,885.572,19.00000,20.12000,20.15000,21.85089,34.58111,36.77635,12.21506,491.78276,491.7827583,,605.3973,1193.2437,1670.9607,19.00000,20.12000,20.15000,0.00000,25.14373,49.55345,33.31513,1341.27931,1341.279308,,572.9328,1116.5968,1760.5079,19.00000,20.12000,20.15000,0.00000,23.79539,46.37043,31.28796,1259.66454,1259.664539
B3,13,U100,P,CO2,0,30,60,0.12444,5.01000,,1298.04020,2846.73010,5810.65550,19.00000,20.12000,20.15000,54.11767,118.23213,241.30699,112.79702,4541.24933,4541.249329,,,220.05,0.22005,2.6406,,0.2323728,,,692.9482,1574.5708,1398.6815,19.00000,20.12000,20.15000,28.89028,65.39603,58.08495,28.80013,1159.50391,1159.503909,,537.5905,1076.876,1760.1238,19.00000,20.12000,20.15000,22.41313,44.72547,73.09505,32.63446,1313.87542,1313.875416,,640.1664,1515.5199,2478.4209,19.00000,20.12000,20.15000,0.00000,26.58778,62.93706,40.05214,1612.51383,1612.513831,,724.8293,1078.6236,2204.0694,19.00000,20.12000,20.15000,0.00000,30.10405,44.79347,33.23365,1337.99903,1337.999027
B6,13,U200,P,CO2,0,30,60,0.12444,5.01000,,1181.54240,2581.68340,5938.96970,19.00000,20.12000,20.15000,49.26066,107.22404,246.63567,114.85864,4624.25080,4624.250795,,,232.55,0.23255,2.7906,,0.2455728,,,613.7395,1200.3806,1269.0854,19.00000,20.12000,20.15000,25.58792,49.85494,52.70304,22.67316,912.82984,912.8298378,,501.6125,857.7988,1451.94,19.00000,20.12000,20.15000,20.91314,35.62662,60.29669,24.24947,976.29239,976.2923911,,606.7437,1083.7548,1641.753,19.00000,20.12000,20.15000,0.00000,25.19965,45.00656,31.25741,1258.43486,1258.434862,,496.754,1023.7407,1580.0642,19.00000,20.12000,20.15000,0.00000,20.63149,42.51427,28.18495,1134.73642,1134.736421
B7,13,U200,P,CO2,0,30,60,0.12444,5.01000,,1530.90760,3818.07880,1133.75330,19.00000,20.12000,20.15000,63.82634,158.57477,47.08292,32.39916,1304.40200,1304.401998,,,-24.3,-0.0243,-0.2916,,-0.0256608,,,661.9163,1121.1993,906.6693,19.00000,20.12000,20.15000,27.59650,46.56633,37.65249,12.62440,508.26299,508.2629899,,658.5671,1132.3092,1271.7206,19.00000,20.12000,20.15000,27.45687,47.02775,52.81247,19.88202,800.45753,800.4575348,,636.6302,401.5738,2402.3045,19.00000,20.12000,20.15000,0.00000,26.44091,16.67670,18.81414,757.46436,757.4643605,,534.2749,1048.2169,1737.1154,19.00000,20.12000,20.15000,0.00000,22.18983,43.53073,29.30917,1179.99786,1179.997864
B8,13,U200,P,CO2,0,30,60,0.12444,5.01000,,1083.58220,1888.34690,5102.33460,19.00000,20.12000,20.15000,45.17652,78.42797,211.89159,90.37468,3638.51777,3638.517773,,,196.19,0.19619,2.35428,,0.20717664,,,672.92,2174.2991,951.6465,19.00000,20.12000,20.15000,28.05527,90.30431,39.52032,31.56964,1271.00535,1271.005347,,565.1474,933.0627,691.4748,19.00000,20.12000,20.15000,23.56203,38.75253,28.71581,8.78234,353.58013,353.5801323,,581.0633,1139.9755,1898.1738,19.00000,20.12000,20.15000,0.00000,24.13307,47.34131,31.87516,1283.30582,1283.305821,,521.4337,1060.0806,1142.0785,19.00000,20.12000,20.15000,0.00000,21.65650,44.02341,29.30918,1179.99840,1179.9984
B11,13,M100,P,CO2,0,30,60,0.12444,5.01000,,640.04910,1412.45260,1970.06980,19.00000,20.12000,20.15000,26.68482,58.66284,81.81377,38.75716,1560.37743,1560.377434,,,64.08,0.06408,0.76896,,0.06766848,,,663.6447,2409.9323,1480.8848,19.00000,20.12000,20.15000,27.66856,100.09077,61.49872,46.10901,1856.36546,1856.365459,,540.4521,816.8566,437.8347,19.00000,20.12000,20.15000,22.53244,33.92619,18.18256,2.82657,113.79867,113.798671,,541.384,1307.0347,2420.7949,19.00000,20.12000,20.15000,0.00000,22.48509,54.27901,34.35409,1383.10830,1383.108301,,780.979,1650.3603,2762.5139,19.00000,20.12000,20.15000,0.00000,32.43609,68.53676,45.08834,1815.27298,1815.272983
B12,13,M100,P,CO2,0,30,60,0.12444,5.01000,,643.20860,1038.17210,1128.56380,19.00000,20.12000,20.15000,26.81654,43.11799,46.86740,16.07130,647.03644,647.0364356,,,22.16,0.02216,0.26592,,0.02340096,,,556.0448,2032.6734,1950.9794,19.00000,20.12000,20.15000,23.18252,84.42223,81.02097,52.37049,2108.45508,2108.45508,,631.1159,998.7398,907.3649,19.00000,20.12000,20.15000,26.31238,41.48027,37.68138,11.61782,467.73778,467.7377806,,507.0475,1327.5804,1288.7779,19.00000,20.12000,20.15000,0.00000,21.05901,55.13224,34.14165,1374.55549,1374.555488,,723.9493,1214.9866,2210.9226,19.00000,20.12000,20.15000,0.00000,30.06750,50.45640,35.81043,1441.74110,1441.741101
B13,13,M100,P,CO2,0,30,60,0.12444,5.01000,,1001.24960,1048.93460,2447.90010,19.00000,20.12000,20.15000,41.74393,43.56499,101.65728,28.19564,1135.16662,1135.16662,,,68.78,0.06878,0.82536,,0.07263168,,,605.1065,2020.8847,512.773,19.00000,20.12000,20.15000,25.22800,83.93261,21.29462,23.02221,926.88253,926.8825297,,663.3297,1062.6444,1634.3369,19.00000,20.12000,20.15000,27.65543,44.13439,67.87133,25.37700,1021.68741,1021.687407,,568.8627,1619.0092,2539.4631,19.00000,20.12000,20.15000,0.00000,23.62635,67.23480,40.76724,1641.30390,1641.303898,,604.897,1642.7164,2802.0186,19.00000,20.12000,20.15000,0.00000,25.12295,68.21932,41.85073,1684.92571,1684.925708
B16,13,M200,P,CO2,0,30,60,0.12444,5.01000,,600.08570,966.94080,2352.89560,19.00000,20.12000,20.15000,25.01867,40.15957,97.71190,39.67786,1597.44521,1597.445207,,,85.19,0.08519,1.02228,,0.08996064,,,721.9547,1741.5349,973.4874,19.00000,20.12000,20.15000,30.09961,72.33049,40.42734,22.58452,909.26090,909.2608996,,796.9248,1155.6449,2057.9702,19.00000,20.12000,20.15000,33.22525,47.99695,85.46413,30.15867,1214.19908,1214.199083,,683.2914,1444.1242,2839.2728,19.00000,20.12000,20.15000,0.00000,28.37887,59.97211,39.45227,1588.36285,1588.362851,,665.0621,1587.2071,1859.4324,19.00000,20.12000,20.15000,0.00000,27.62176,65.91411,41.85211,1684.98129,1684.981288
B17,13,M200,P,CO2,0,30,60,0.12444,5.01000,,667.14320,1147.08420,2228.79400,19.00000,20.12000,20.15000,27.81442,47.64140,92.55816,38.02041,1530.71572,1530.715718,,,75.5,0.0755,0.906,,0.079728,,,902.004,1816.1205,2180.8178,19.00000,20.12000,20.15000,37.60620,75.42822,90.56579,40.23521,1619.88426,1619.884261,,640.3281,1100.2432,1872.9132,19.00000,20.12000,20.15000,26.69645,45.69597,77.77901,31.41706,1264.86241,1264.862413,,690.7349,1753.9077,3136.4977,19.00000,20.12000,20.15000,0.00000,28.68802,72.83691,45.47191,1830.71589,1830.715889,,806.744,1234.893,1602.0454,19.00000,20.12000,20.15000,0.00000,33.50618,51.28308,37.64286,1515.51549,1515.515491
B18,13,M200,P,CO2,0,30,60,0.12444,5.01000,,774.03900,1538.67310,2059.94880,19.00000,20.12000,20.15000,32.27110,63.90511,85.54630,37.76313,1520.35740,1520.357402,,,61.49,0.06149,0.73788,,0.06493344,,,721.1029,2240.5224,1594.1902,19.00000,20.12000,20.15000,30.06410,93.05474,66.20410,43.17829,1738.37389,1738.373894,,595.339,1206.7274,926.6358,19.00000,20.12000,20.15000,24.82077,50.11854,38.48167,16.95027,682.42425,682.4242469,,572.8399,1477.0318,2351.0424,19.00000,20.12000,20.15000,0.00000,23.79154,61.33871,38.13812,1535.45474,1535.454736,,818.6455,1436.0854,2946.8005,19.00000,20.12000,20.15000,0.00000,34.00048,59.63827,41.67650,1677.91123,1677.911235
B21,13,C0,P,CO2,0,30,60,0.12444,5.01000,,514.26660,1451.35210,2451.79050,19.00000,20.12000,20.15000,21.44072,60.27844,101.81884,53.21565,2142.48157,2142.481572,,,94.61,0.09461,1.13532,,0.09990816,,,1293.9498,1212.4365,1216.6141,19.00000,20.12000,20.15000,53.94713,50.35565,50.52399,-3.08559,-124.22693,0,,661.8738,1439.4636,1780.0024,19.00000,20.12000,20.15000,27.59473,59.78468,73.92058,34.81711,1401.74962,1401.749623,,1513.0561,2681.0318,2927.9259,19.00000,20.12000,20.15000,0.00000,62.84117,111.33885,77.53771,3121.69676,3121.696763,,1321.9006,2534.048,3649.6333,19.00000,20.12000,20.15000,0.00000,54.90198,105.23486,71.38657,2874.04930,2874.0493
B22,13,C0,P,CO2,0,30,60,0.12444,5.01000,,1707.47990,2889.06440,3634.11840,19.00000,20.12000,20.15000,71.18796,119.99038,150.91898,57.13292,2300.19221,2300.192205,,,90.48,0.09048,1.08576,,0.09554688,,,1799.9624,1182.2635,2169.2358,19.00000,20.12000,20.15000,75.04373,49.10249,90.08481,-4.08390,-164.41929,0,,951.1069,1637.3344,1834.2859,19.00000,20.12000,20.15000,39.65339,68.00277,76.17489,28.70517,1155.68076,1155.680764,,2005.6824,2014.8051,2280.9331,19.00000,20.12000,20.15000,0.00000,83.30122,83.67155,73.52423,2960.11246,2960.112464,,1772.5091,2629.3148,3245.863,19.00000,20.12000,20.15000,0.00000,73.61693,109.19113,81.11102,3265.55934,3265.559336
B23,13,C0,P,CO2,0,30,60,0.12444,5.01000,,878.08210,1895.49040,2601.12820,19.00000,20.12000,20.15000,36.60885,78.72466,108.02059,50.49736,2033.04208,2033.042079,,,82.88,0.08288,0.99456,,0.08752128,,,1077.0117,2109.5556,1346.1407,19.00000,20.12000,20.15000,44.90259,87.61535,55.90302,23.09621,929.86188,929.8618819,,784.2622,1388.9441,2262.9794,19.00000,20.12000,20.15000,32.69733,57.68647,93.97782,38.61787,1554.76975,1554.769745,,1480.9425,1513.4684,1576.6835,19.00000,20.12000,20.15000,0.00000,61.50740,62.85186,54.77860,2205.40637,2205.40637,,1291.5766,2483.8849,3431.0369,19.00000,20.12000,20.15000,0.00000,53.64254,103.15167,69.90043,2814.21710,2814.217103
A1,13,U100,L,N2O,0,30,60,0.12444,5.01000,,0.25320,0.26560,0.22960,19.00000,20.12000,20.15000,0.01056,0.01103,0.00953,-0.00027,-0.01074,0,,,0,0,0,,0,,,0.2736,0.2491,0.2655,19.00000,20.12000,20.15000,0.01141,0.01035,0.01103,-0.00062,-0.02509,0,,0.2769,0.2318,0.2573,19.00000,20.12000,20.15000,0.01154,0.00963,0.01069,-0.00120,-0.04847,0,,0.2694,0.2976,0.3139,19.00000,20.12000,20.15000,0.00000,0.01119,0.01236,0.01039,0.41824,0.418242318,,0.2363,0.2451,0.3213,19.00000,20.12000,20.15000,0.00000,0.00981,0.01018,0.00881,0.35466,0.354658851
A2,13,U100,L,N2O,0,30,60,0.12444,5.01000,,0.23220,0.24520,0.26110,19.00000,20.12000,20.15000,0.00968,0.01018,0.01084,0.00074,0.02998,0.029980972,,,0,0,0,,0,,,0.2808,0.2339,0.244,19.00000,20.12000,20.15000,0.01171,0.00971,0.01013,-0.00156,-0.06293,0,,0.2416,0.2434,0.2943,19.00000,20.12000,20.15000,0.01007,0.01011,0.01222,0.00100,0.04022,0.040223451,,0.2461,0.3053,0.3086,19.00000,20.12000,20.15000,0.00000,0.01022,0.01268,0.01013,0.40766,0.407661408,,0.2731,0.3176,0.3631,19.00000,20.12000,20.15000,0.00000,0.01134,0.01319,0.01083,0.43617,0.436165199
A3,13,U100,L,N2O,0,30,60,0.12444,5.01000,,0.25410,0.28040,0.24180,19.00000,20.12000,20.15000,0.01059,0.01165,0.01004,0.00019,0.00773,0.0077272,,,0,0,0,,0,,,0.2844,0.2774,0.2958,19.00000,20.12000,20.15000,0.01186,0.01152,0.01228,0.00005,0.00215,0.002147938,,0.2332,0.2351,0.311,19.00000,20.12000,20.15000,0.00972,0.00976,0.01292,0.00148,0.05955,0.059552303,,0.276,0.272,0.3754,19.00000,20.12000,20.15000,0.00000,0.01146,0.01130,0.01002,0.40332,0.403316041,,0.2818,0.2547,0.3333,19.00000,20.12000,20.15000,0.00000,0.01170,0.01058,0.00979,0.39418,0.394176466
A6,13,U200,L,N2O,0,30,60,0.12444,5.01000,,0.99470,2.15720,2.98900,19.00000,20.12000,20.15000,0.04147,0.08959,0.12413,0.05819,2.34256,2.342562221,,,0.1,0.0001,0.0012,,0.0001056,,,1.2481,3.0226,5.7766,19.00000,20.12000,20.15000,0.05204,0.12554,0.23989,0.11707,4.71335,4.713349222,,0.6465,3.1561,7.7013,19.00000,20.12000,20.15000,0.02695,0.13108,0.31982,0.17809,7.17002,7.170020014,,1.1819,9.4505,17.2504,19.00000,20.12000,20.15000,0.00000,0.04909,0.39246,0.20041,8.06851,8.068511315,,0.3892,1.6566,2.4183,19.00000,20.12000,20.15000,0.00000,0.01616,0.06880,0.03833,1.54304,1.543044919
A7,13,U200,L,N2O,0,30,60,0.12444,5.01000,,1.16190,3.89720,6.90000,19.00000,20.12000,20.15000,0.04844,0.16186,0.28655,0.15695,6.31892,6.318924077,,,0.28,0.00028,0.00336,,0.00029568,,,0.7043,3.6138,5.2227,19.00000,20.12000,20.15000,0.02936,0.15009,0.21689,0.13689,5.51122,5.511222348,,0.561,3.0124,5.9534,19.00000,20.12000,20.15000,0.02339,0.12511,0.24723,0.14548,5.85706,5.857055805,,1.1566,7.8927,13.2738,19.00000,20.12000,20.15000,0.00000,0.04804,0.32777,0.17035,6.85837,6.858374128,,0.3419,1.8211,1.9706,19.00000,20.12000,20.15000,0.00000,0.01420,0.07563,0.04062,1.63550,1.635500595
A8,13,U200,L,N2O,0,30,60,0.12444,5.01000,,2.09030,7.00830,11.52850,19.00000,20.12000,20.15000,0.08715,0.29107,0.47876,0.26549,10.68871,10.68870794,,,0.46,0.00046,0.00552,,0.00048576,,,0.9214,3.1321,6.1538,19.00000,20.12000,20.15000,0.03841,0.13008,0.25556,0.13816,5.56235,5.562353908,,0.7505,3.5461,5.9421,19.00000,20.12000,20.15000,0.03129,0.14728,0.24677,0.14768,5.94565,5.945653971,,0.8083,4.8824,7.1748,19.00000,20.12000,20.15000,0.00000,0.03357,0.20276,0.10701,4.30820,4.308204305,,0.5503,0.94,2.024,19.00000,20.12000,20.15000,0.00000,0.02286,0.03904,0.02753,1.10851,1.108505367
A11,13,M100,L,N2O,0,30,60,0.12444,5.01000,,0.23660,0.26750,0.25470,19.00000,20.12000,20.15000,0.00986,0.01111,0.01058,0.00085,0.03435,0.034346124,,,0,0,0,,0,,,0.2916,0.2419,0.2652,19.00000,20.12000,20.15000,0.01216,0.01005,0.01101,-0.00142,-0.05701,0,,0.2315,0.2691,0.265,19.00000,20.12000,20.15000,0.00965,0.01118,0.01101,0.00126,0.05090,0.050898743,,0.2687,0.2915,0.2359,19.00000,20.12000,20.15000,0.00000,0.01116,0.01211,0.01026,0.41308,0.413078807,,0.2829,0.2833,0.2933,19.00000,20.12000,20.15000,0.00000,0.01175,0.01176,0.01035,0.41684,0.416842979
A12,13,M100,L,N2O,0,30,60,0.12444,5.01000,,0.25780,0.26490,0.24510,19.00000,20.12000,20.15000,0.01075,0.01100,0.01018,-0.00015,-0.00618,0,,,0,0,0,,0,,,0.2849,0.2771,0.275,19.00000,20.12000,20.15000,0.01188,0.01151,0.01142,-0.00037,-0.01472,0,,0.2664,0.2701,0.2924,19.00000,20.12000,20.15000,0.01111,0.01122,0.01214,0.00052,0.02099,0.020990274,,0.2768,0.2857,0.2448,19.00000,20.12000,20.15000,0.00000,0.01150,0.01186,0.01029,0.41437,0.414366852,,0.2549,0.2808,0.2819,19.00000,20.12000,20.15000,0.00000,0.01059,0.01166,0.00981,0.39513,0.395132495
A13,13,M100,L,N2O,0,30,60,0.12444,5.01000,,0.23370,0.23870,0.23150,19.00000,20.12000,20.15000,0.00974,0.00991,0.00961,0.00001,0.00051,0.000513942,,,0,0,0,,0,,,0.2871,0.275,0.2738,19.00000,20.12000,20.15000,0.01197,0.01142,0.01137,-0.00051,-0.02038,0,,0.2485,0.2368,0.232,19.00000,20.12000,20.15000,0.01036,0.00983,0.00963,-0.00055,-0.02232,0,,0.2363,0.2883,0.2753,19.00000,20.12000,20.15000,0.00000,0.00981,0.01197,0.00963,0.38772,0.387721606,,0.2663,0.252,0.2966,19.00000,20.12000,20.15000,0.00000,0.01106,0.01047,0.00947,0.38115,0.381150918
