  	          	          	                    	   	Si   	    	Na  	    	Mg   	    	Al  	    	P   	    	K    	    	Ca   	    	Fe  	    	Cl   	    	SiO2 	    	Ag     	    	Cu	    	Mn 	    	S    	    	Zn 	    	
Nr	Ident     	Seq       	Time                	Pos	C    	Unit	C   	Unit	C    	Unit	C   	Unit	C   	Unit	C    	Unit	C    	Unit	C   	Unit	C    	Unit	C    	Unit	C      	Unit	C 	Unit	C  	Unit	C    	Unit	C  	Unit	
59	A18_L     	1 of 1    	13-Jan-2024 13:25:30	9  	0.279	%   	2180	ppm 	1331 	ppm 	-95 	ppm 	2088	ppm 	32352	ppm 	11527	ppm 	1   	ppm 	15934	ppm 	0.60 	%   	456.507	cps 	6 	ppm 	185	ppm 	3135 	ppm 	84 	ppm 	
60	A14_L     	1 of 1    	13-Jan-2024 13:32:21	10 	0.332	%   	2117	ppm 	1402 	ppm 	-9  	ppm 	2070	ppm 	28243	ppm 	11793	ppm 	120 	ppm 	16337	ppm 	0.71 	%   	337.707	cps 	6 	ppm 	105	ppm 	3702 	ppm 	176	ppm 	
61	B15_R     	1 of 1    	13-Jan-2024 13:42:01	1  	0.856	%   	339 	ppm 	1667 	ppm 	443 	ppm 	2415	ppm 	9148 	ppm 	1791 	ppm 	320 	ppm 	4767 	ppm 	1.83 	%   	380.111	cps 	7 	ppm 	72 	ppm 	1959 	ppm 	100	ppm 	
62	A4_R      	1 of 1    	13-Jan-2024 13:48:27	2  	0.264	%   	1404	ppm 	1466 	ppm 	120 	ppm 	4369	ppm 	14612	ppm 	2228 	ppm 	-17 	ppm 	10769	ppm 	0.56 	%   	408.447	cps 	7 	ppm 	229	ppm 	3080 	ppm 	156	ppm 	
63	A25_R     	1 of 1    	13-Jan-2024 13:55:18	3  	0.280	%   	414 	ppm 	1646 	ppm 	257 	ppm 	2568	ppm 	6339 	ppm 	1688 	ppm 	218 	ppm 	4570 	ppm 	0.60 	%   	433.747	cps 	7 	ppm 	42 	ppm 	1256 	ppm 	62 	ppm 	
64	A2_R      	1 of 1    	13-Jan-2024 14:02:09	4  	0.221	%   	880 	ppm 	1560 	ppm 	104 	ppm 	4217	ppm 	13866	ppm 	3015 	ppm 	0   	ppm 	6773 	ppm 	0.47 	%   	460.084	cps 	7 	ppm 	257	ppm 	3182 	ppm 	144	ppm 	
65	A22_R     	1 of 1    	13-Jan-2024 14:09:00	5  	0.262	%   	483 	ppm 	1644 	ppm 	305 	ppm 	2457	ppm 	5009 	ppm 	1999 	ppm 	231 	ppm 	4210 	ppm 	0.56 	%   	499.081	cps 	6 	ppm 	39 	ppm 	1373 	ppm 	50 	ppm 	
66	A18_R     	1 of 1    	13-Jan-2024 14:15:51	6  	0.388	%   	427 	ppm 	1665 	ppm 	279 	ppm 	2648	ppm 	12485	ppm 	1884 	ppm 	184 	ppm 	3850 	ppm 	0.83 	%   	415.509	cps 	5 	ppm 	97 	ppm 	2112 	ppm 	85 	ppm 	
67	A19_R     	1 of 1    	13-Jan-2024 14:22:42	7  	0.487	%   	479 	ppm 	1669 	ppm 	348 	ppm 	2840	ppm 	12748	ppm 	1935 	ppm 	313 	ppm 	2870 	ppm 	1.04 	%   	570.938	cps 	9 	ppm 	116	ppm 	2028 	ppm 	97 	ppm 	
68	A13_R     	1 of 1    	13-Jan-2024 14:29:33	8  	0.367	%   	-99 	ppm 	1769 	ppm 	353 	ppm 	1237	ppm 	5071 	ppm 	1072 	ppm 	194 	ppm 	2602 	ppm 	0.78 	%   	258.448	cps 	5 	ppm 	56 	ppm 	371  	ppm 	84 	ppm 	
