Sample Name,Time of sampling (after hrs) ,Plant,Test Name (PPM),RT,Area,BF,1st Day,3rd day,5th day,7th day 
A2.23,1,L,N2O,5.117,123.914,0.2776,0.2628,0.2926,0.2819,0.2821
A3.1,2,L,CH4,2.793,17.9211,1.8339,1.9823,1.8522,2.0494,2.1306
A3.1,2,L,CO2,4.193,11953.0055,1361.4294,1.8166,1446.6919,2543.2715,2699.085
A3.1,2,L,N2O,5.12,106.7352,0.2296,,0.2573,0.3139,0.3213
A3.2,2,L,CH4,2.792,16.9337,1.7187,,2.1946,1.6802,2.1419
A3.2,2,L,CO2,4.19,34189.1832,3913.8065,,1696.7182,2418.7922,2263.2682
A3.2,2,L,N2O,5.118,117.9985,0.2611,,0.2943,0.3086,0.3631
A3.3,2,L,CH4,2.791,16.4256,1.6595,,2.2709,2.0702,1.9385
A3.3,2,L,CO2,4.189,32384.9226,3706.7047,,1649.4799,2787.3829,2048.5005
A3.3,2,L,N2O,5.117,111.1073,0.2418,,0.311,0.3754,0.3333
A3.6,2,L,CH4,2.79,16.4657,1.6641,,2.1608,2.024,1.8049
A3.6,2,L,CO2,4.192,10392.8216,1182.3439,,1096.9034,1598.405,1179.5654
A3.6,2,L,N2O,5.117,1092.7194,2.989,,7.7013,17.2504,2.4183
A3.7,2,L,CH4,2.791,21.27,2.2246,,1.8864,2.1096,1.6139
A3.7,2,L,CO2,4.191,13700.1961,1561.9805,,817.7159,1268.9535,794.8644
A3.7,2,L,N2O,5.117,2490.2122,6.9,,5.9534,13.2738,1.9706
A3.8,2,L,CH4,2.792,19.5852,2.0281,,2.2861,1.7594,1.7143
A3.8,2,L,CO2,4.191,27333.562,3126.8848,,1152.303,1398.954,1041.3562
A3.8,2,L,N2O,5.118,4144.0347,11.5285,,5.9421,7.1748,2.024
A3.11,2,L,CH4,2.794,15.9114,1.5995,,1.9394,1.6504,1.9892
A3.11,2,L,CO2,4.191,32167.413,3681.7378,,1126.4178,774.1796,2149.3936
A3.11,2,L,N2O,5.118,115.7054,0.2547,,0.265,0.2359,0.2933
A 3.12,2,L,CH4,2.797,15.8389,1.591,,2.0778,1.5962,1.8232
A 3.12,2,L,CO2,4.198,26193.6733,2996.0428,,1365.3187,1471.784,2284.8002
A 3.12,2,L,N2O,5.129,112.2755,0.2451,,0.2924,0.2448,0.2819
A3.13,2,L,CH4,2.794,16.8088,1.7042,,1.6107,1.4826,2.0462
A3.13,2,L,CO2,4.197,21291.6941,2433.3697,,1132.6365,2312.7585,3149.3751
A3.13,2,L,N2O,5.128,107.4289,0.2315,,0.232,0.2753,0.2966
A3.16,2,L,CH4,2.792,18.2564,1.873,,1.775,1.8888,1.8926
A3.16,2,L,CO2,4.193,34461.1888,3945.0286,,1313.2167,2869.2553,2144.7376
A3.16,2,L,N2O,5.127,123.105,0.2754,,0.2571,0.3122,0.2682
A3.17,2,L,CH4,2.79,15.5442,1.5566,,1.8773,1.7217,1.7833
A3.17,2,L,CO2,4.192,37515.94,4295.6679,,1704.2754,3151.9511,2501.3769
A3.17,2,L,N2O,5.124,110.8101,0.241,,0.2776,0.3084,0.2515
A3.18,2,L,CH4,2.789,18.9938,1.9591,,2.1762,1.5306,1.7214
A3.18,2,L,CO2,4.191,28588.7711,3270.9639,,1891.902,2003.3474,1782.9104
A3.18,2,L,N2O,5.123,123.764,0.2772,,0.6784,0.3053,0.2542
A3.21,2,L,CH4,2.787,20.048,2.0821,,1.7817,1.9247,2.1554
A3.21,2,L,CO2,4.191,23270.584,2660.5164,,1073.038,1809.0849,2123.6669
A3.21,2,L,N2O,5.121,130.0271,0.2947,,0.3127,0.3354,0.398
A3.22,2,L,CH4,2.789,17.1421,1.7431,,1.8925,1.8601,1.5031
A3.22,2,L,CO2,4.19,34012.1572,3893.4866,,1871.5505,3445.3064,1967.376
A3.22,2,L,N2O,5.122,119.5974,0.2656,,0.2676,0.2773,0.2352
A3.23,2,L,CH4,2.789,17.5985,1.7963,,1.7258,1.9141,1.8234
A3.23,2,L,CO2,4.191,35704.3944,4087.7298,,810.6088,2365.5168,2373.2053
A3.23,2,L,N2O,5.122,125.317,0.2816,,0.2457,0.2884,0.2923
B1.1,0,P,CH4,2.787,17.6608,1.8036,,2.3053,1.6699,1.8297
B1.1,0,,CO2,4.191,8030.9622,911.2382,,667.0694,523.62,596.1819
B1.1,0,,N2O,5.117,111.3382,0.2424,0.2516,0.2781,0.2378,0.2511
B1.2,0,,CH4,2.789,18.5146,1.9032,1.7365,1.8414,2.138,1.7853
B1.2,0,,CO2,4.192,10559.5526,1201.4821,578.633,524.1049,605.3973,572.9328
B1.2,0,,N2O,5.117,117.9909,0.2611,0.2336,0.2375,0.2757,0.23
B1.3,0,,CH4,2.79,19.9918,2.0755,1.9802,1.8568,1.9265,2.0945
B1.3,0,,CO2,4.192,11400.762,1298.0402,692.9482,537.5905,640.1664,724.8293
B1.3,0,,N2O,5.119,124.9144,0.2804,0.2703,0.2432,0.268,0.2763
B1.6,0,,CH4,2.791,20.9824,2.1911,1.8386,1.8298,2.1754,1.7511
B1.6,0,,CO2,4.193,10385.839,1181.5424,613.7395,501.6125,606.7437,496.754
B1.6,0,,N2O,5.119,126.6925,0.2854,0.2373,0.2376,0.2673,0.2358
B1.7,0,,CH4,2.79,20.0417,2.0813,1.8581,2.2152,2.0213,1.761
B1.7,0,,CO2,4.192,13429.4909,1530.9076,661.9163,658.5671,636.6302,534.2749
B1.7,0,,N2O,5.118,123.0463,0.2752,0.2401,0.279,0.2648,0.2287
B1.8,0,,CH4,2.789,18.0882,1.8534,1.9678,1.868,2.1733,1.6831
B1.8,0,,CO2,4.192,9532.4148,1083.5822,672.92,565.1474,581.0633,521.4337
B1.8,0,,N2O,5.118,115.4226,0.2539,0.2531,0.2476,0.2743,0.2294
B1.11,0,,CH4,2.787,17.0025,1.7268,1.8988,1.7745,1.7229,2.2464
B1.11,0,,CO2,4.191,5668.3766,640.0491,663.6447,540.4521,541.384,780.979
B1.11,0,,N2O,5.118,113.8688,0.2495,0.2449,0.3424,0.2246,0.2737
B1.12,0,,CH4,2.786,19.4255,2.0094,1.8529,2.2622,1.7239,2.2523
B1.12,0,,CO2,4.19,5695.9027,643.2086,556.0448,631.1159,507.0475,723.9493
B1.12,0,,N2O,5.116,123.2564,0.2758,0.2392,0.4664,0.2327,0.29
B1.13,0,,CH4,2.785,20.7975,2.1695,1.6763,2.282,1.6067,1.4666
B1.13,0,,CO2,4.188,8815.1374,1001.2496,605.1065,663.3297,568.8627,604.897
B1.13,0,,N2O,5.114,126.7959,0.2857,0.2528,0.3404,0.2506,0.2005
B1.16,0,,CH4,2.785,17.6369,1.8008,2.1982,2.3014,2.1118,1.7924
B1.16,0,,CO2,4.19,5320.2178,600.0857,721.9547,796.9248,683.2914,665.0621
B1.16,0,,N2O,5.115,114.2592,0.2506,0.2829,0.3664,0.2797,0.2317
B1.17,0,,CH4,2.786,21.0778,2.2022,2.2251,2.2846,2.0895,2.2064
B1.17,0,,CO2,4.19,5904.4194,667.1432,902.004,640.3281,690.7349,806.744
B1.17,0,,N2O,5.116,126.0283,0.2836,0.2726,0.421,0.2832,0.2788
B1.18,0,,CH4,2.787,21.204,2.2169,2.1258,2.0307,1.7618,1.9997
B1.18,0,,CO2,4.191,6835.69,774.039,721.1029,595.339,572.8399,818.6455
B1.18,0,,N2O,5.116,123.4848,0.2764,0.2779,0.4782,0.2448,0.2666
B1.21,0,,CH4,2.789,16.0851,1.6197,2.1467,1.8049,2.1035,2.0572
B1.21,0,,CO2,4.192,4572.5665,514.2666,1293.9498,661.8738,1513.0561,1321.9006
B1.21,0,,N2O,5.117,110.1465,0.2391,0.2826,0.2661,0.3285,0.3305
B1.22,0,,CH4,2.79,17.7206,1.8105,2.07,2.1444,2.0184,1.8269
B1.22,0,,CO2,4.192,14967.7793,1707.4799,1799.9624,951.1069,2005.6824,1772.5091
B1.22,0,,N2O,5.122,116.2874,0.2563,0.283,0.2761,0.2646,0.2572
B1.23,0,,CH4,2.791,16.7464,1.6969,1.6909,1.6416,1.9985,1.8627
B1.23,0,,CO2,4.194,7742.1079,878.0821,1077.0117,784.2622,1480.9425,1291.5766
B1.23,0,,N2O,5.12,115.2607,0.2534,0.2399,0.2379,0.2846,0.27
B2.1,1,,CH4,2.79,17.7565,1.8147,,1.8124,1.1851,2.2066
B2.1,1,,CO2,4.19,20622.4589,2356.5516,,950.0768,922.9412,1357.1847
B2.1,1,,N2O,5.119,109.7659,0.238,,0.2335,0.1547,0.2854
B2.2,1,,CH4,2.789,16.4215,1.659,,1.8564,2.1239,2.09
B2.2,1,,CO2,4.189,19573.2734,2236.121,,832.6255,1193.2437,1116.5968
B2.2,1,,N2O,5.118,104.7884,0.2241,,0.2305,0.2835,0.2829
B2.3,1,,CH4,2.789,17.8696,1.8279,,1.8978,2.1157,1.8192
B2.3,1,,CO2,4.188,24892.8681,2846.7301,,1076.876,1515.5199,1078.6236
B2.3,1,,N2O,5.117,114.255,0.2506,,0.24,0.2802,0.2452
B2.6,1,,CH4,2.789,16.6462,1.6852,,2.0612,2.1555,2.2387
B2.6,1,,CO2,4.189,22583.7955,2581.6834,,857.7988,1083.7548,1023.7407
B2.6,1,,N2O,5.116,109.8344,0.2382,,0.2542,0.2832,0.2935
B2.7,1,,CH4,2.791,18.5436,1.9066,,2.1557,1.4856,1.8613
B2.7,1,,CO2,4.189,33355.2081,3818.0788,,1132.3092,401.5738,1048.2169
B2.7,1,,N2O,5.118,116.0175,0.2555,,0.2752,0.4988,0.2622
B2.8,1,,CH4,2.793,17.0775,1.7355,1.7749,1.8664,1.6928,2.2036
B2.8,1,,CO2,4.193,16543.4833,1888.3469,2.2571,933.0627,1139.9755,1060.0806
B2.8,1,,N2O,5.119,111.0538,0.2416,,0.252,0.2469,0.3031
B2.11,1,,CH4,2.794,20.5155,2.1366,2.3056,1.7988,2.0631,2.1694
B2.11,1,,CO2,4.195,12397.5163,1412.4526,2.1027,816.8566,1307.0347,1650.3603
B2.11,1,,N2O,5.122,126.3287,0.2844,,0.6162,0.3507,0.2856
B2.12,1,,CH4,2.796,16.4906,1.667,2.0969,2.3073,2.1308,1.8157
B2.12,1,,CO2,4.196,9136.8039,1038.1721,2.2275,998.7398,1327.5804,1214.9866
B2.12,1,,N2O,5.121,110.4961,0.2401,,1.0874,0.2945,0.3046
B2.13,1,,CH4,2.796,17.2048,1.7504,1.7665,2.3105,2.0922,2.1491
